source,target
上海市闵行区朱琴肉类经营部,上海逸谷会餐饮有限公司,58.0
纽迪希亚生命早期营养品管理(上海),上海新欧尚超市有限公司嘉定店,7.0
安吉祖名豆制食品有限公司,松江大润发,139.0
祖名豆制品有限公司,沃尔玛凌云店,29.0
上海优壹电子商务有限公司,浙江震元医药连锁有限公司,6.0
上海天容肉制品集团有限公司,溧水大润发,7.0
上海优壹电子商务有限公司,苏州高新区杭州贝因美集团孕婴童用品何山加盟店,7.0
普陀区真北路1425号,上海膳晨楼餐饮管理有限公司,2.0
上海富臻实业有限公司,上海萨莉亚餐饮有限公司大渡河路店,1.0
河南贵友实业有限公司（河南）,上海浦众农贸市场经营管理有限公司,2.0
上海牛羊肉公司,上海龙辉餐饮管理有限公司大华店,4.0
上海阳洋豆业食品有限公司,清峪农贸市场,21.0
上海市徐汇区欣建副食品经营部,上海龙辉餐饮管理有限公司时代广场店,18.0
上海市虹口区宗腾食品销售部,上海市继光高级中心（食堂）,15.0
泰森华东食品发展有限公司,上海世纪联华超市卢湾有限公司,130.0
上海汉康豆类食品有限公司,上海永昌高陵市场,29.0
AT99-裴顿食品（安徽）有限公司,上海联家超市有限公司真北店,4.0
舟山骏华水产有限公司,上海市闵行区新哥肉制品经营部,1.0
上海旭洋绿色食品有限公司,上海南石农副产品市场经营管理有限公司,82.0
上海双汇大昌有限公司上海分公司,常州腾翔食品有限公司,28.0
江苏太仓市食品有限公司,上海宝山泗塘市场经营管理有限公司,20.0
上海依涛食品有限公司,上海龙辉餐饮管理有限公司时代广场店,9.0
上海市荣孙肉制品经营部,上海龙辉餐饮管理有限公司五角场店,17.0
北京华城世茂贸易有限公司,上海杨浦唐宫海鲜舫有限公司,1.0
上海花冠营养乳品有限公司,闽北市福州市阳光伊贝贝,10.0
上海绿和园艺有限公司,上海必胜客有限公司龙茗餐厅,32.0
舟山骏华水产有限公司,上海龙辉餐饮管理有限公司五角场店,14.0
上海英豪食品有限公司,上海新欧尚超市有限公司嘉定店,3.0
上海市嘉定区江桥镇季益年肉类经营部,上海老磨坊食品有限公司,3.0
上海麦题食品贸易有限公司,上海萨莉亚餐饮有限公司真北路店,1.0
上海市普陀区富甬水产行,上海福宴餐饮管理有限公司,8.0
上海峰二食品有限公司,上海游香餐饮管理有限公司淮海中路店,77.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司航头餐厅,7.0
上海佳伊食品有限公司,上海莘莘餐饮管理有限公司,5.0
幻品食品（上海）有限公司,怡好（上海）餐饮有限公司,153.0
上海力德尔食品有限公司,甘泉210号,48.0
2428上海乐惠米业有限公司,上海家得利超市有限公司,4.0
上海天容肉制品集团有限公司,瑞虹易买得,3.0
上海嘉里粮油工业有限公司（油）,上海市黄浦区陆盛餐厅,32.0
上海诚集实业发展有限公司,上海欧尚超市有限公司闵行店,2.0
上海适达餐饮管理有限公司冰淇淋加工厂,松江平高国际,26.0
上海江杨农产品物流有限公司,上海泥城大润发商贸有限公司,2.0
上海适达餐饮管理有限公司冰淇淋加工厂,周浦万达,22.0
ZZNY YT19-青岛何氏牛业有限公司,上海联家超市有限公司共江店,6.0
上海旭洋绿色食品有限公司,乐天玛特,20.0
江苏景瑞农业科技发展有限公司,沃尔玛华东百货有限公司上海桃浦分店,63.0
中粮国际（北京）有限公司上海分公司,上海必胜客有限公司宋元路店,8.0
上海金锣哲远食品销售有限公司,昆山润华商业有限公司上海松江分公司,30.0
上海紫燕食品有限公司,上海市松江区岳阳街道罗杜芹熟食店,4.0
上海天容肉制品集团有限公司,沭阳大润发,12.0
艾狄士食品（上海）有限公司,杭州富春山居,2.0
上海市青浦区华新镇重申食品经营部,上海青浦区春晖民办幼儿园,94.0
上海泓滔贸易有限公司,上海绿地优鲜超市有限公司宝山大华三路分公司,2.0
锦州百合食品有限公司,上海峰二食品有限公司,1.0
中粮国际（北京）有限公司上海分公司,上海必胜客有限公司虹桥路店,12.0
上海艺杏食品有限公司,晓阳集贸市场（潘芳芳）（散户）,15.0
上海万有全豆制品有限公司奉贤分公司,联丰市场,28.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司南广场餐厅,7.0
上海宏辉食品有限公司（自采）,上海通河永辉超市有限公司,54.0
上海旭洋绿色食品有限公司,上海三江农副产品经营管理有限公司,1.0
湖南湘佳牧业股份有限公司,上海联家超市有限公司大场店,10.0
上海东区老大房食品有限公司,易买得南桥,8.0
上海紫燕食品有限公司,上海市闸北区延平熟食店,3.0
上海新景西餐食品有限公司,宁波洲际酒店,5.0
益海嘉里食品营销有限公司,联家徐泾店,1.0
西郊国际农产品交易中心,上海盛怡农副产品市场经营管理有限公司,111.0
领先食品（上海）发展有限公司,味之鲜-北京,32.0
上海清优贸易有限公司,上海二十一世纪酒店有限公司,4.0
上海艺杏食品有限公司,上海汽车变速器 H,10.0
上海市长宁区庆珍食品店,上海龙粤餐饮有限公司,90.0
上海唯源食品有限公司,上海金文食品有限公司,1.0
上海紫燕食品有限公司,上海市徐汇区杨周熟食店,6.0
上海紫燕食品有限公司,上海市闵行区隽力熟食店,2.0
上海意华食品有限公司,北京京华澳商贸中心上海办事处,2.0
上海部落情餐饮服务管理有限公司,枣阳店,10.0
青浦西郊国际,上海福水农贸市场经营管理有限公司,24.0
上海大牧汗食品有限公司,上海家得利超市有限公司包头路店,25.0
上海双汇大昌有限公司上海分公司,苏州工业园区肉食品市场玉廷食品批发部,168.0
上海大场农副产品批发交易市场经营管理有限公司,上海真南农副产品综合市场经营管理有限公司,8.0
上海花冠营养乳品有限公司,沙坪坝区宝贝计划,4.0
上海正顶记贸易有限公司,梅林正广和便利连锁有限公司,22.0
YSJE-北京湖西岛有机农业发展有限公司,上海联家超市有限公司七宝店,6.0
上海越哲食品有限公司,徐州食品城天龙综合市场,17.0
益海嘉里食品营销有限公司,上海必胜客有限公司曹安公路店,3.0
上海爱樱食品有限公司,上海市闵行区新哥肉制品经营部,1.0
上海汉康豆类食品有限公司,09.联华靖海店,17.0
上海鑫品食品有限公司,上海亿元食品商贸有限公司,2.0
上海阳洋豆业食品有限公司,良照市场42号,28.0
上海好客农业科技发展有限公司,上海龙辉餐饮管理有限公司淀山湖大道店,914.0
佳农食品有限公司,锦江麦德龙现购自运有限公司闵行商场,30.0
上海杰升食品厂,锦梅路面店,4.0
宇尧实业（上海）,上海浦东新区民办紫华中意幼儿园,24.0
上海艺杏食品有限公司,绿一社区,9.0
上海金文食品有限公司,上海龙辉餐饮管理有限公司仲盛世界商城店,30.0
上海市闸北区熠峰食品经营部,上海龙辉餐饮管理有限公司周浦万达店,19.0
上海亚太国际蔬菜有限公司,上海肯德基有限公司八一餐厅,38.0
上海市嘉定区江桥镇梁建成肉类经营部,上海部落情餐饮服务管理有限公司,5.0
上海亚太国际蔬菜有限公司,上海肯德基有限公司香港广场餐厅,31.0
上海澳莉嘉食品有限公司宝山分公司,龙之梦-中山公园店,253.0
上海艺杏食品有限公司,麦德龙闵行店--12,30.0
益海嘉里食品营销有限公司,上海必胜客有限公司吴中路餐厅,3.0
上海都乐食品有限公司,上海邻家超市有限公司威宁路分公司,13.0
上海长生食品有限公司,大润发武进店,1.0
北海宏远水产食品有限公司,上海市闵行区新哥肉制品经营部,1.0
山东枣庄华宝牧业有限公司,上海新景西餐食品有限公司,2.0
上海龙辉餐饮管理有限公司九六广场店,上海泽福食用菌种植专业合作社,68.0
上海龙军食品有限公司,上海北沙滩置业有限公司白金湾悦榕酒店,36.0
上海紫燕食品有限公司,上海益星日用百货经营部,3.0
上海市零陵北路21号,上海京家粮油有限公司,1.0
上海每多豆制品器具有限公司,上海七宝商城综合市场经营管理有限公司,5.0
上海福照得商贸有限公司,上海唐人神肉制品有限公司,21.0
苏州市佳和,上海红丽食品厂,16.0
