source,target
上海阳洋豆业食品有限公司,泾东2号,3.0
北京中冷物流股份有限公司,1027江苏沃尔玛百货有限公司常州南大街分店,6.0
六安市永旭商贸有限公司(14),上海浦东华联吉买盛购物中心有限公司,2.0
上海玉峰食品有限公司,上海龙辉餐饮管理有限公司莘庄龙之梦店,10.0
上海冯达豆类食品有限公司,西南11#,1.0
上海东利油脂食品有限公司,上海月峰带钢有限公司,5.0
上海良友海狮油脂实业有限公司,特易购商业(浙江)有限公司上海中华新路店,3.0
上海清美绿色食品有限公司,灵山菜场加盟预付,2.0
上海花冠营养乳品有限公司,滁州市明光宝贝康,1.0
上海清美绿色食品有限公司,杨业水豆腐品（预付）,2.0
广东八记食品有限公司,上海龙辉餐饮管理有限公司七莘路店,3.0
永吉精气神有机农业有限公司,上海环盛商业有限公司徐汇环贸广场第三分公司,10.0
上海松林肉食品有限公司,上海绿叶农副产品市场经营管理有限公司团结路分公司,1.0
上海汉康豆类食品有限公司,03.曹杨八村,3.0
上海冯达豆类食品有限公司,申客隆超市,1.0
上海市杨浦区唐绍全粮油经营部,上海虹口糕团食品厂,24.0
上海清美绿色食品有限公司,南大路如海超市加盟（预付）,2.0
上海海底捞实业有限公司,上海捞派餐饮管理有限公司龙茗路分公司,44.0
上海旭洋绿色食品有限公司,上海南石农副产品市场经营管理有限公司,18.0
上海清美绿色食品有限公司,上海汶上贸易商行,2.0
上海微馨贸易有限公司,上海龙辉餐饮管理有限公司闸北大悦城店,3.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司亭坊餐厅,1.0
光明米业（集团）有限公司,上海奉贤大润发商贸有限公司,4.0
上海汉康豆类食品公司,上海佳伊食品有限公司,2.0
上海旭洋绿色食品有限公司,华润大悦城,1.0
上海正顶记贸易有限公司,利福广场(苏州)有限公司,60.0
上海市普陀区崔其昌农产品经营部,上海天目湖宾馆管理有限公司,8.0
上海亚太国际蔬菜有限公司,上海肯德基有限公司名都餐厅,2.0
上海世达食品有限公司,上海龙辉餐饮管理有限公司莘庄龙之梦店,32.0
上海市松江区学茸鲜肉摊,上海品馔餐饮管理有限公司,2.0
多美滋婴幼儿食品有限公司,山东潍坊百货集团股份有限公司中百配送中心,6.0
上海清美绿色食品有限公司,江海花园豆制品（单位加盟）,2.0
上海旭洋绿色食品有限公司,龙华西菜场,2.0
上海清美绿色食品有限公司,龙水南路251(伍缘折扣超市),2.0
上海华晨食品有限公司,上海东方航空食品有限公司,17.0
东莞市九龙城食品有限公司,东莞九龙城食品有限公司,1.0
上海蓝田食品有限公司,和民餐饮管理（上海）有限公司月星环球商业中心店,60.0
上海阳洋豆业食品有限公司,南翔,2.0
上海阳洋豆业食品有限公司,民生路,3.0
上海花冠营养乳品有限公司,宜春市袁州区城北兵哥商行,1.0
上海虹口糕团食品厂,浦东大道店,44.0
上海汉康豆类食品有限公司,09.农工商108店,3.0
上海市梅林食品有限公司,上海市食品进出口有限公司,1.0
上海清美绿色食品有限公司,蔬果e家生鲜超市加盟 预付1 高芝玉,1.0
上海清美绿色食品有限公司,漕东安亭店经销（漕东小区）,3.0
上海紫燕食品有限公司,上海市松江区中山街道志北熟食店,1.0
上海景瑞农业科技发展有限公司,上海新欧尚超市有限公司嘉定店,8.0
上海清美绿色食品有限公司,恒高路（专卖加盟）,2.0
上海亚太国际蔬菜有限公司,上海肯德基有限公司昌平 餐厅,2.0
上海清美绿色食品有限公司,军民豆制品预付,2.0
上海清美绿色食品有限公司,芷江西路店（乐天玛特）,3.0
上海清美绿色食品有限公司,上海东湾农副产品市场经营管理有限公司,2.0
苏尼特右旗维信肉业有限责任公司,上海玉峰食品有限公司,1.0
祥云食品,上海翼家菜市场经营管理有限公司,2.0
上海勇盈贸易有限公司,上海正顶记贸易有限公司,2748.0
北京中冷物流股份有限公司,302上海浦东好又多超市有限公司田林分公司,11.0
