source,target
上海汉康豆类食品有限公司,39.珍鼎中心厨房A2,11.0
上海增旺商贸有限公司,上海佳郦南林餐饮管理有限公司,198.0
福建新恩源食品有限公司,上海欧尚超市有限公司闵行店,1.0
上海艺杏食品有限公司,东安市场1082号(李珠萍),32.0
上海旭洋绿色食品有限公司,鞍山菜场,11.0
上海艺杏食品有限公司,上海金鼎农贸市场经营管理有限公司,29.0
上海德丰食品工业有限公司,徐州鑫宇（张凯）,13.0
上海萱谊蔬菜销售有限公司,上海环盛商业有限公司黄浦大时代第四分公司,28.0
益海嘉里食品营销有限公司,上海莘庄乐购生活购物有限公司,5.0
浙江贝因美科工贸股份有限公司,上海莲源物流有限公司望园路分公司,8.0
益海嘉里食品营销有限公司,上海必胜客有限公司奉贤南桥路店,3.0
纽迪希亚生命早期营养品管理（上海）有限公司,大连禧丰禄贸易有限公司,10.0
上海农产品中心批发市场,上海阳普菜市场经营管理有限公司振原分公司,50.0
上海椰椰食品有限公司,河北黄骅鹏宝副食（孙祥成）,6.0
艾狄士食品（上海）有限公司,上海鸿艺房地产(猫头鹰淮海中路),3.0
上海远通食品有限公司,上海宝隆宾馆有限公司,3326.0
上海绿和园艺有限公司,上海必胜客有限公司淀山湖大道店,32.0
上海朱海贸易有限公司(酒水）,上海传贤餐饮有限公司,396.0
上海阳洋豆业食品有限公司,华池路市场-龙泉,29.0
张向荣肉类销售经营部,上海爱辉农副产品市场经营管理有限公司,17.0
上海巨匠咖啡食品有限公司,大连爱仕德贸易有限公司,2.0
上海汉康豆类食品有限公司,03.金桥湾,25.0
上海好客农业科技发展有限公司,上海玉峰食品有限公司,1.0
上海良友海狮油脂实业有限公司(15),上海新路达商业(集团)有限公司新路达华联吉买盛店,2.0
上海春贺贸易有限公司,上海顶发食品有限公司,2.0
上海碧聪进出口有限公司,上海外高桥进口商品直销中心有限公司,27.0
YZ9H-贝因美（上海）现代商超营销有限公司,上海联家超市有限公司青浦公园店,6.0
上海聚合食品有限公司,上海三角地菜市场经营管理有限公司广中路分场,20.0
益海嘉里食品营销有限公司,上海宝山乐购生活购物有限公司,7.0
上海花冠营养乳品有限公司,福州南通阳光宝宝,4.0
浙江景明果品有限公司,上海欧尚超市有限公司,15.0
上海亚太国际蔬菜有限公司,上海肯德基有限公司武定餐厅,33.0
上海惠寿食品有限公司,上海掌柜的店餐饮管理有限公司,274.0
上海徐新食品有限公司,上海美林阁溧阳餐饮有限公司,12.0
上海双汇大昌有限公司上海分公司,上海双智商贸有限公司,1.0
上海清美绿色食品有限公司,砖桥批发市场豆制品2号摊位加盟预付,32.0
上海阳洋豆业食品有限公司,国泰菜场2号(汉康),29.0
上海新景西餐食品有限公司,上海宝浓食品有限公司（百特喜餐厅下属配送公司）,1.0
上海长生食品有限公司,大润发三林店,3.0
上海汉康豆类食品有限公司,联华龙州店,25.0
上海清美绿色食品有限公司,赵丹丹菜店加盟 预付1,2.0
上海清美绿色食品有限公司,凌兆110（联华经销）,14.0
多美滋婴幼儿食品有限公司,康成投资（中国）有限公司,62.0
郑州双汇食品有限公司,上海双汇大昌有限公司上海分公司,1.0
上海思迅商贸有限公司,上海莲源物流有限公司望园路分公司,10.0
上海清美绿色食品有限公司,浦城店(家家乐),99.0
上海飞欣贸易有限公司,上海新欧尚超市有限公司蒙山北路店,4.0
中粮东海粮油工业（张家港）有限公司,上海厚乐实业有限公司,23.0
上海市宝山区万兵肉类经销部,上海盛桥农贸市场经营管理有限公司,39.0
云南东恒经贸集团食品有限公司,上海萨莉亚餐饮有限公司真北路店,10.0
上海紫燕食品有限公司,上海市闵行区晓琼熟食店,7.0
上海紫燕食品有限公司,上海市闵行区通根熟食店,9.0
安徽省和县济洪蔬菜种植有限公司,上海嘉定安亭大润发商贸有限公司,38.0
江苏长寿大红门食品有限公司,上海天馨集贸市场经营管理有限公司,16.0
上海艺杏食品有限公司,浦东新区区政府（上海浦东展览馆）,5.0
上海泽福食用菌种植专业合作社,上海好客农业科技发展有限公司,1.0
上海万有全豆制品有限公司奉贤分公司,家得利普育东路店,31.0
上海双汇大昌有限公司上海分公司,温州市瓯海泽雅林志辉副食品店,38.0
上海市嘉定区江桥镇张能粮食经营部,上海巧有贸易有限公司罗镇华联超市店,245.0
益海嘉里食品营销有限公司,上海必胜客有限公司高行万嘉店,4.0
上海清美绿色食品有限公司,罗店(世纪联华),42.0
上海艺杏食品有限公司,昌化菜市场(龙英)（散户）,7.0
上海新康园食品有限公司,上海合阳综合市场经营管理部,4.0
益海嘉里食品营销有限公司,上海必胜客有限公司锦秋路店,2.0
上海清美绿色食品有限公司,崇明262店（农工商）,24.0
厦门古龙进出口有限公司,上海瑞轩食品有限公司,1.0
纽迪希亚生命早期营养品管理（上海）有限公司,哈尔滨阿华多美商贸有限责任公司,7.0
上海旭洋绿色食品有限公司,农工商118专卖,31.0
上海紫燕食品有限公司,上海市青浦区西敏熟食店,4.0
上海旭洋绿色食品有限公司,汇金徐汇,26.0
上海冯达豆类食品有限公司,昆阳261#,27.0
上海汉康豆类食品有限公司,29.世纪联华御桥店,26.0
上海汉康豆类食品有限公司,26.关东张桥店,26.0
苏州众志食品批发部,上海浦众农贸市场经营管理有限公司,1.0
海昌粮油经营部,上海东湾农副产品市场经营管理有限公司,124.0
上海长生食品有限公司,大润发定远店,1.0
中盐东兴盐化股份有限公司,上海金文食品有限公司,1.0
联合利华食品有限公司,上海顶发食品有限公司,2.0
上海花冠营养乳品有限公司,河南省许昌县鼎鼎商贸有限公司,23.0
上海九雅堂食品有限公司,刘先生,3.0
领先食品（上海）发展有限公司,味之鲜-上海优豆,79.0
上海万有全豆制品有限公司奉贤分公司,家得利宣化,31.0
上海睿畅贸易有限公司奉贤分公司,李国兰（世纪联华黄浦店),4.0
领先食品（上海）发展有限公司,味之鲜-上海明焘,23.0
上海花冠营养乳品有限公司,湖北孝感安陆市广鸿商贸有限公司,7.0
上海斗品膳食品有限公司,南昌合盛餐饮管理有限公司北京东路百盛店,8.0
上海英之龙食品有限公司,上海诚味食品有限公司,1.0
上海花冠营养乳品有限公司,泉州晋江洋埭梦圆岛,6.0
上海越哲食品有限公司,青岛子联商贸有限公司,9.0
上海永诚食品有限公司,昆山永诚食品工业有限公司,13.0
上海帝志贸易有限公司,上海蓝溪实业有限公司竞衡假日酒店,3.0
上海双汇大昌有限公司上海分公司,繁昌立源商贸有限责任公司,7.0
