source,target
泰森华东食品发展有限公司,上海联家超市有限公司友谊南方商城店,192.0
上海新景西餐食品有限公司,金茂君悦大酒店,18.0
上海恩一食品有限公司,昆山万得美食品有限公司,1.0
上海汉康豆类食品有限公司,上海新时达电气股份有限公司,6.0
北京合众裕泰生物科技有限公司,上海华润万家超市有限公司悦达店,1.0
上海汉康豆类食品有限公司,上海好客农业科技发展有限公司,1.0
上海花冠营养乳品有限公司,来宾市金秀县桐木镇华浩宝贝母婴用品店,18.0
上海瑞轩食品有限公司,杭州瑞琪食品有限公司,8.0
上海诚味食品有限公司,上海龙辉餐饮管理有限公司莘庄龙之梦店,35.0
上海新景西餐食品有限公司,静安希尔顿饭店（上海）,3.0
上海艺杏食品有限公司,常客隆(梅李店),30.0
上海味信食品有限公司,上海朋联超市有限公司,27.0
上海冯达豆类食品有限公司,八号桥121#,19.0
上海聚誉食品销售有限公司,上海宝隆宾馆有限公司,482.0
上海锦臣文英食品有限公司,上海华晨食品有限公司,3.0
上海胜飞副食品经营部,上海悦翠贸易有限公司叶翠酒家,208.0
上海永诚食品有限公司,上海煌兆贸易有限公司,1.0
上海紫燕食品有限公司,上海市闵行区谢晓容熟食店,1.0
上海市徐汇区欣建副食品经营部,上海龙辉餐饮管理有限公司新松江路店,182.0
上海新景西餐食品有限公司,优胜美地酒店经营管理(上海)有限公司,37.0
上海市宝山区美新鲜水果店,上海君航大酒店有限公司,17.0
黄圃镇银丰腊味加工厂,上海浦众农贸市场经营管理有限公司,1.0
江苏泰森食品有限公司,B上海正大广场卜蜂莲花店,2.0
上海淳飞食品有限公司,上海晋湘餐饮有限公司,133.0
上海良友海狮油脂实业有限公司,上海金文食品有限公司,1.0
裴顿食品(安徽)有限公司,上海联家超市有限公司莘庄店,2.0
江苏海创农产品开发有限公司,上海必胜客有限公司共和大润发店,62.0
上海洁诺酒店用品有限公司,上海龙象海鲜大酒店有限公司,45.0
上海紫燕食品有限公司,上海市松江区方松街道山岗熟食店,3.0
上海紫燕食品有限公司,上海市闵行区锡康食品店,1.0
上海阳洋豆业食品有限公司,春晖市场5号,19.0
上海斗品膳食品有限公司,嘉善县斗牛士牛排餐厅,10.0
上海齐善食品有限公司,上海净宁餐饮有限公司,18.0
纽迪希亚生命早期营养品管理（上海）有限公司, 康德乐(上海）医药有限公司,5.0
上海良友海狮油脂实业有限公司,农工商超市,59.0
上海双汇大昌有限公司上海分公司,天津市乾之源食品有限公司,6.0
上海宝山区小窦水产行,上海牡丹酒家经营管理有限公司餐饮分公司,64.0
海亮明康汇物流有限公司,万寿亭菜场店,210.0
上海万有全豆制品有限公司奉贤分公司,升亮分公司食堂（封浜）,13.0
迈盛,华盛,1.0
北京合众裕泰生物科技有限公司,上海环盛商业有限公司黄浦大时代第四分公司,1.0
