source,target
上海里旺贸易有限公司,上海龙辉餐饮管理有限公司莘庄龙之梦店,3.0
纽迪希亚生命早期营养品管理(上海),上海新欧尚超市有限公司嘉定店,6.0
上海大昌行食品工业有限公司,上海家得利超市有限公司安亭店,1.0
上海亚太国际蔬菜有限公司,上海肯德基有限公司虹凯餐厅,32.0
上海民维食品有限公司,昆山润华商业有限公司上海闸北分公司,10.0
山东顺达食品公司,上海上食肉类有限公司,1.0
上海欣倍食品贸易有限公司,上海市杨园中学,31.0
上海越哲食品有限公司,宿州-王奎林,10.0
上海龙辉餐饮管理有限公司九六广场店,上海聚仙贸易有限公司,13.0
益海嘉里食品营销有限公司,上海联家超市有限公司武宁店,5.0
山东荣兴食品有限公司,上海日生食品物流有限公司,1.0
上海汉康豆类食品有限公司,东贸市场,1.0
裕农,上海仓新集贸市场经营管理有限公司,5.0
澳奎国际贸易（上海）有限公司,上海外高桥进口商品直销中心有限公司,2.0
上海力德尔食品有限公司,B2-1201a莘庄中学 总校1003a②学生,2.0
美赞臣营养品（中国）有限公司,上海联家超市有限公司真北店,1.0
上海锦臣文英食品有限公司,上海华晨食品有限公司,11.0
上海自由贸易区台中南路2号,上海广亚百货商业有限公司,1.0
上海清美绿色食品有限公司,上海七宝商城综合市场经营管理有限公司,1259.0
上海市松江区九亭镇怀磊食品店,上海翡翠餐饮有限公司,6.0
上海阳洋豆业食品有限公司,清峪农贸市场,22.0
泰森华东食品发展有限公司,上海世纪联华超市卢湾有限公司,101.0
上海市青浦区徐泾第二幼儿园,上海市青浦区徐泾第二幼儿园,10.0
YSBT-内蒙古科尔沁牛业股份有限公司上海分公司,上海联家超市有限公司荣乐路店,2.0
嘉定区养鸡场,山东泰森新昌食品有限公司,1.0
上海依涛食品有限公司,上海龙辉餐饮管理有限公司时代广场店,8.0
北京华城世茂贸易有限公司,上海杨浦唐宫海鲜舫有限公司,4.0
上海花冠营养乳品有限公司,闽北市福州市阳光伊贝贝,7.0
上海绿和园艺有限公司,上海必胜客有限公司龙茗餐厅,35.0
上海展鲜食品销售有限公司普陀分公司,上海龙辉餐饮管理有限公司南方商城店,22.0
上海蜀蕴供应链有限公司,上海新白鹿餐饮有限公司第一分公司,55.0
上海市嘉定区江桥镇季益年肉类经营部,上海老磨坊食品有限公司,8.0
上海万有全豆制品有限公司奉贤分公司,真德门市部,43.0
泰卜蜂国际贸易有限公司,上海新欧尚超市有限公司人民店,1.0
上海双汇大昌有限公司上海分公司,丽水市森泰副食品经营部,37.0
上海兼光食品有限公司第三分公司,上海兼光食品有限公司第一分店,31.0
上海旭洋绿色食品有限公司,农工商40专卖,34.0
上海东区老大房食品有限公司,世纪联华嘉定安亭店,18.0
上海峰二食品有限公司,上海游香餐饮管理有限公司淮海中路店,1.0
上海顶淳食品有限公司,上海瑞凯伊德食品有限公司,1.0
上海阳洋豆业食品有限公司,彭浦菜市场,5.0
华润五丰米业（中国）有限公司,上海好呀商贸有限公司凌云分公司,2.0
上海增鑫食品销售有限公司（彭好美）,上海辉哥海鲜火锅餐饮有限公司虹桥店,1432.0
上海八仙食品有限公司,常州依蒙食品有限公司,70.0
上海玉响豆制品加工厂,上海博伦综合批发市场,1.0
上海花冠营养乳品有限公司,临渭区新丽华商贸有限公司,16.0
上海花冠营养乳品有限公司,重庆市开县好爸爸孕婴连锁店,6.0
2428上海乐惠米业有限公司,上海家得利超市有限公司,12.0
上海天容肉制品集团有限公司,瑞虹易买得,5.0
云南茂陇实业有限责任有限公司,北京玉中都科技开发中心,1.0
