source,target
上海艺杏食品有限公司,上海蓝田农贸市场经营管理有限公司,26.0
上海旭洋绿色食品有限公司,上海申泉农贸市场经营管理有限公司,62.0
上海文畅食品有限公司,上海龙辉餐饮管理有限公司莘庄龙之梦店,8.0
上海永诚食品有限公司,科麦（上海）烘焙食品贸易有限公司,2.0
上海市荣孙肉制品经营部,上海龙辉餐饮管理有限公司长泰广场店,117.0
上海部落情餐饮服务管理有限公司,蒙自店,5.0
上海中盐嘉青盐业有限公司,上海聚合食品有限公司,34.0
上海大胜贸易有限公司,上海二十一世纪酒店有限公司,37.0
益海嘉里食品营销有限公司,上海必胜客有限公司芳甸路店,6.0
上海长生食品有限公司,大润发如皋店,1.0
上海清美绿色食品有限公司,松江中山中路320(农工商),9.0
佳农食品有限公司,上海欧尚超市有限公司,13.0
上海聚合食品有限公司,花木镇山山熟食店,34.0
上海慎昌贸易有限公司（惠氏）,上海通河永辉超市有限公司,12.0
上海慧源饮用水有限公司,普思新体育用品有限公司,42.0
B428-南京利丰英和上海有限公司,上海联家超市有限公司友谊南方商城店,14.0
上海八仙食品有限公司,上海红泽食品有限公司,13.0
上海力德尔食品有限公司,实幼早教-学生,4.0
蔬菜陈,上海翼家菜市场经营管理有限公司,31.0
上海牛羊肉公司,上海龙辉餐饮管理有限公司大华店,1.0
上海旺园家禽养殖专业合作社,上海美天副食品市场经营管理有限公司虹康分公司,24.0
上海阳洋豆业食品有限公司,名言市场（佳富）,25.0
昆山融雪粮油制品有限公司,上海市金山区乐冠佳食品商店,18.0
宿州市皖神面制品有限公司,上海普圆食品有限公司,5.0
湛江市长亿食品厂,上海诚味食品有限公司,1.0
上海阿王农副产品配送服务有限公司,上海宝山区大场镇敬老院,286.0
上海阳洋豆业食品有限公司,辽阳菜场82号,25.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司宝山万达餐厅,3.0
上海三角地菜市场经营管理有限公司广中路分场,上海市商业会计学校（食堂）,37.0
上海东区老大房食品有限公司,联华古北新城,7.0
宁波金海岸民生食品有限公司,锦江麦德龙现购自运有限公司闵行商场,4.0
上海新麦食品工业有限公司,上海来伊份股份有限公司,4.0
膳博士陈昌明,上海翼家菜市场经营管理有限公司,8.0
沈阳华美禽畜有限公司,上海萨莉亚餐饮有限公司真北路店,6.0
泰州众品食业有限公司,上海山林食品有限公司,1.0
上海大昌行食品工业有限公司,世纪联华 淞南,1.0
上海东区老大房食品有限公司,世纪联华嘉定城中店,16.0
上海清美绿色食品有限公司,莘庄专柜(家乐福),2.0
上海津香食品有限公司,上海贪吃小站食品有限公司,1.0
上海花冠营养乳品有限公司,宜春市袁州区城北兵哥商行,14.0
安吉祖名豆制食品有限公司,老西门易买得,174.0
上海林仔工贸有限公司,上海爱连信食品有限公司,1.0
上海富臻实业有限公司,上海萨莉亚餐饮有限公司真光路二店,1.0
上海万有全豆制品有限公司奉贤分公司,周月梅14(亿家美）,31.0
益海嘉里食品营销有限公司（金龙鱼油）,益海嘉里食品营销有限公司,1.0
