泌阳县羊册镇王续奶粉专卖:{"lng":113.26009827017658,"lat":32.99181051228516}
东康菜市场(陈传胜)（加盟）:{"lng":121.44651287101874,"lat":31.32321337409829}
七宝商城:{"lng":121.3539330613975,"lat":31.16226439691013}
:{"lng":117.03626088172686,"lat":31.73263806799341}
重庆渝多味商贸:{"lng":106.53063501341296,"lat":29.54460610888615}
52大团店:{"lng":121.74808029190773,"lat":30.977354939901762}
上海栩鑫贸易有限公司:{"lng":121.48789948569473,"lat":31.24916171001514}
徐州佳合食品有限公司:{"lng":116.59556699665161,"lat":34.689919338271245}
华联吉买盛江湾店:{"lng":121.49113284654733,"lat":31.310200187937674}
上海七宝商城综合市场经营管理有限公司:{"lng":121.35316120496431,"lat":31.162187853694572}
高行-孙-292:{"lng":121.61544736980106,"lat":31.29890015496808}
上海玉融商贸有限公司九亭分公司:{"lng":121.33428124856944,"lat":31.13491723367045}
华润万家兰州天水北路店OLE:{"lng":103.86913326706684,"lat":36.069739652963136}
延寿县双丰米业有限公司:{"lng":128.46394286529815,"lat":45.48952021574527}
广东:{"lng":113.3948175587587,"lat":23.40800372902474}
上海增鑫食品销售有限公司（程祖荣）:{"lng":121.48789948569473,"lat":31.24916171001514}
阿克苏悯农果蔬生产农民专业合作社:{"lng":81.15601314780744,"lat":40.349444301112534}
苏州久润腌腊食品有限公司:{"lng":121.11437794706673,"lat":31.454612330463675}
上海赛迪副食品有限公司(阜新市场三):{"lng":121.62291031231686,"lat":31.541222930326125}
上海肯德基有限公司机场二店餐厅:{"lng":121.33391907334716,"lat":31.20187491323836}
上海市闵行区异家综合加盟超市（月结1）:{"lng":121.42502428093465,"lat":31.093537540382123}
广中:{"lng":113.60452649760371,"lat":24.806425939637723}
秦皇岛靖坤食品有限责任公司:{"lng":119.6043676161184,"lat":39.945461565897574}
上海合阳综合市场经营管理部:{"lng":121.44829240075941,"lat":31.270601317113965}
上海农工商皇冠酒店:{"lng":121.48789948569473,"lat":31.24916171001514}
宜春天辰商贸有限公司:{"lng":114.40003867155777,"lat":27.811129895842885}
连江育儿宝奶粉店:{"lng":119.56833930310215,"lat":26.30159141127251}
同济大学（学苑小炒）:{"lng":120.78907466346726,"lat":30.73999390477492}
上海市虹口区教育学院附属中学（食堂）:{"lng":121.49558642967249,"lat":31.278840829648345}
哈尔滨嘉品工贸有限公司:{"lng":126.67475923808988,"lat":45.74375023534124}
延安居委:{"lng":109.50050975696925,"lat":36.60332035226031}
上海肯德基有限公司甘泉餐厅:{"lng":109.18223909796153,"lat":36.35354416939404}
上海市闵行谭友副食品经营部:{"lng":121.42502428093465,"lat":31.093537540382123}
1、光明米业集团有限公司:{"lng":118.35492346983668,"lat":32.14074373744977}
安徽仓库:{"lng":117.2160052075697,"lat":31.85925241707919}
广东东莞:{"lng":113.76343399075655,"lat":23.043023815368237}
上海锐丰农产品有限公司:{"lng":121.50441932402322,"lat":31.276992910690605}
上海壹柒农业科技有限公司:{"lng":121.48789948569473,"lat":31.24916171001514}
上海肯德基有限公司月浦餐厅:{"lng":121.43371504479111,"lat":31.424137055940758}
番禺（家得利）:{"lng":113.41679952964883,"lat":22.93459079579793}
邵武市贝亲商行:{"lng":117.49426709118728,"lat":27.344442854435183}
天长市天鑫粮油贸易有限公司:{"lng":118.80211791432238,"lat":32.765066186971076}
上海市南汇优质鸡联合发展养殖场:{"lng":121.7699041751199,"lat":31.051897976820506}
上海梅桂香食品销售有限公司:{"lng":121.48789948569473,"lat":31.24916171001514}
上海肯德基有限公司中原餐厅:{"lng":121.44689960501537,"lat":31.199462300194433}
上海美馨贸易有限公司:{"lng":121.44996685839952,"lat":31.110852700391625}
上海高榕生物科技有限公司:{"lng":121.48417726698358,"lat":30.968705741007955}
上海肯德基有限公司北广场 餐厅:{"lng":121.46107186113088,"lat":31.254230395750668}
汕头俪晟纸塑包装有限公司:{"lng":116.72865028834109,"lat":23.383908453269196}
2042沃尔玛（江苏）商业零售有限公司吴江江兴西路分店:{"lng":120.64654870098259,"lat":31.175018551950505}
宝山一诚食品:{"lng":131.5648359275195,"lat":46.529227981900426}
鲜德宝超市预付:{"lng":121.47458605905354,"lat":31.311980330787964}
朱桥小学-学生:{"lng":110.81669896271104,"lat":27.014403126380294}
上海高校冷链有限公司:{"lng":121.48789948569473,"lat":31.24916171001514}
上海润庄农业科技有限公司:{"lng":121.39174008132815,"lat":30.894421535108126}
上海房隆实业有限公司:{"lng":121.48789948569473,"lat":31.24916171001514}
（安达）上海三和禽业:{"lng":125.38455235788517,"lat":46.53546712818151}
相城大润发:{"lng":120.64520941729776,"lat":31.3807076364994}
海宁市斜桥永发食品厂:{"lng":120.61872710777868,"lat":30.442176799316616}
天泰餐饮（品川桃江）(H):{"lng":111.99046415182826,"lat":28.464142378680922}
连阳菜市场62号:{"lng":121.51879436811609,"lat":31.261623431004068}
句容市华阳镇龙华食品经营部:{"lng":119.19570441265195,"lat":31.950360113246116}
上海良敏农产品专业合作社:{"lng":121.77927332192786,"lat":31.111330603047325}
宇治抹茶（上海）有限公司:{"lng":121.68142359764249,"lat":31.19338479212424}
上海外滩3号7F:{"lng":121.49736185775022,"lat":31.239852086904875}
奥华菜场-旭洋:{"lng":114.93479704892727,"lat":28.2371135780239}
游子老鸭粉丝馆（丽园）:{"lng":121.49312259325193,"lat":31.215403315536086}
区政府（一中心）:{"lng":103.7124675548801,"lat":27.326101601036232}
乔家路-张:{"lng":121.504000085727,"lat":31.222278048848278}
食汇水产经营部:{"lng":113.86717839576413,"lat":27.636087230959934}
